Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Avg_Confidence,Page_Num
=== TABLE 1: Pages 1-8 ===,,,,,,,,,,,,,,,,,,,,,,
WATERBURY CONN,1,54,12,11,174,94,11,,76,89,94,100,105,134,145,,,,,,92.8,1
,1,55,31,54,330,169,94,1 10,,145,176,191,206,,236,,,,,,93.3,1
,1,56,45,72,454,189,92,1 05,132,145,171,188,219,257,327,,,,,,90.8,1
,1,54 56,,11,454,169,80,99,115,134,155,180,199,223,278,,,,,,93.3,1
HARTFORD CONN,1,57,26,35,314,124,55,79,89,1,116,127,136,158,201,,,,,,92.2,1
NEW HAVER CONN,1,57,23,,201,100,52,60,65,92,100,105,114,123,162,,,,,,88.1,1
STAMFORD CONN N,1,57,26,20,247,112,40,67,74,83,100,123,134,179,194,,,,,,92.6,1
PORTLAND MAITWE,1,57,16,46,265,,47,80,85,97,114,130,145,154,,,,,,,88.2,1
BOSTON MASS,1,54,12,1 19,219,150,1 11,1 17,127,132,136,141,145,186,201,,,,,,88.6,1
,1,55,,57,388,126,73,86,94,100,110,123,137,155,213,,,,,,92.9,1
,1,,46,66,472,155,83,92,109,123,145,164,178,194,236,,,,,,93.9,1
,1,57,26,,214,137,83,89,105,117,132,145,162,191,210,,,,,,90.2,1
,1,54 57,135,57,472,140,80,91,102,114,128,140,160,183,219,,,,,,93.4,1
PITTSFItLv MASS,,55,9,47,103,78,47,60,65,71,76,76,93,97,101,,,,,,90.9,1
,,56,19,36,92,57,36,38,40,5 1,58,60,65,76,85,,,,,,93.5,1
,,55 So,26,36,103,64,37,40,47,57,62,68,76,85,95,,,,,,90.2,1
EVERETT MASS,1,54,13,33,226,104,34,55,71,76,105,123,134,145,201,,,,,,92.9,1
,1,55,32,39,353,122,65,74,90,97,104,117,136,171,210,,,,,,93.3,1
,1,,43,61,293,137,78,87,107,116,129,142,154,165,236,,,,,,94.1,1
,1,54 56,106,33,353,126,66,79,90,102,115,129,147,165,207,,,,,,89.9,1
LAWRENCE MASS,1,57,26,21,186,74,34,38,50,55,65,76,94,102,130,,,,,,94.4,1
LYNN MASS,1,,21,43,253,108,47,65,76,B81,89,114,134,154,171,,,,,,91.2,1
