Station_Location,Site,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Col_17,Col_18,Col_19,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
=== TABLE 1: PAGES 1-8 ===,,,,,,,,,,,,,,,,,,,,,,=== TABLE 1: Pages 1-8 ===,,,skip,False,False
WATERBURY CONN,1,54,12.0,11.0,174.0,94.0,11.0,,76.0,89.0,94.0,100.0,105.0,134.0,145.0,,,,92.8,1,,Waterbury,1.0,100.0,exact,False,False
WATERBURY CONN,1,55,31.0,54.0,330.0,169.0,94.0,110.0,,145.0,176.0,191.0,206.0,,236.0,,,,93.3,1,,nan,,0.0,unmatched,False,False
WATERBURY CONN,1,56,45.0,72.0,454.0,189.0,92.0,105.0,132.0,145.0,171.0,188.0,219.0,257.0,327.0,,,,90.8,1,,nan,,0.0,unmatched,False,False
WATERBURY CONN,1,54 56,,11.0,454.0,169.0,80.0,99.0,115.0,134.0,155.0,180.0,199.0,223.0,278.0,,,,93.3,1,,nan,,0.0,unmatched,True,False
HARTFORD CONN,1,57,26.0,35.0,314.0,124.0,55.0,79.0,89.0,,116.0,127.0,136.0,158.0,201.0,,,,92.2,1,,Hartford,2.0,100.0,exact,False,False
NEW HAVER CONN,1,57,23.0,,201.0,100.0,52.0,60.0,65.0,92.0,100.0,105.0,114.0,123.0,162.0,,,,88.1,1,,New Haven,3.0,92.9,high_confidence,False,False
STAMFORD CONN N,1,57,26.0,20.0,247.0,112.0,40.0,67.0,74.0,83.0,100.0,123.0,134.0,179.0,194.0,,,,92.6,1,,Stamford,4.0,92.9,high_confidence,False,False
PORTLAND MAITWE,1,57,16.0,46.0,265.0,,47.0,80.0,85.0,97.0,114.0,130.0,145.0,154.0,,,,,88.2,1,,Portland,5.0,84.6,low_confidence,False,False
BOSTON MASS,1,54,12.0,119.0,219.0,150.0,111.0,117.0,127.0,132.0,136.0,141.0,145.0,186.0,201.0,,,,88.6,1,,Boston,6.0,100.0,exact,False,False
BOSTON MASS,1,55,,57.0,388.0,126.0,73.0,86.0,94.0,100.0,110.0,123.0,137.0,155.0,213.0,,,,92.9,1,,nan,,0.0,unmatched,False,False
BOSTON MASS,1,,46.0,66.0,472.0,155.0,83.0,92.0,109.0,123.0,145.0,164.0,178.0,194.0,236.0,,,,93.9,1,,nan,,0.0,unmatched,False,False
BOSTON MASS,1,57,26.0,,214.0,137.0,83.0,89.0,105.0,117.0,132.0,145.0,162.0,191.0,210.0,,,,90.2,1,,nan,,0.0,unmatched,False,False
BOSTON MASS,1,54 57,135.0,57.0,472.0,140.0,80.0,91.0,102.0,114.0,128.0,140.0,160.0,183.0,219.0,,,,93.4,1,,nan,,0.0,unmatched,True,False
