Station_Location,Resolved_Name,Station_Order,Years,Total_Samples,Annual_Max,Annual_Avg,Annual_Min,Jan_N,Feb_N,Mar_N,Apr_N,May_N,Jun_N,Jul_N,Aug_N,Sep_N,Oct_N,Nov_N,Dec_N,Jan_Max,Feb_Max,Mar_Max,Apr_Max,May_Max,Jun_Max,Jul_Max,Aug_Max,Sep_Max,Oct_Max,Nov_Max,Dec_Max,Jan_Avg,Feb_Avg,Mar_Avg,Apr_Avg,May_Avg,Jun_Avg,Jul_Avg,Aug_Avg,Sep_Avg,Oct_Avg,Nov_Avg,Dec_Avg,Jan_Min,Feb_Min,Mar_Min,Apr_Min,May_Min,Jun_Min,Jul_Min,Aug_Min,Sep_Min,Oct_Min,Nov_Min,Dec_Min,Avg_Confidence,Match_Score,Match_Type,Page_Num
WATERBURY CONN,Waterbury,1.0,55 56,24.0,13.0,3.9,1.0,2.0,,,13.0,,,,4.0,,,3.0,2.0,4.0,8.0,8.0,,6.0,3.0,1.0,5.0,2.0,13.0,13.0,13.0,3.0,4.0,4.0,5.0,3.0,2.0,1.0,3.0,2.0,4.0,5.0,11.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,9.0,91.7,100.0,exact,74
BOSTON MASS,Boston,6.0,55,1.0,6.0,2.9,1.0,,,,,,,,,,,,1.0,5.0,6.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,5.0,4.0,4.0,5.0,,1.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,,3.0,2.0,1.0,2.0,1.0,3.0,4.0,3.0,4.0,91.9,100.0,exact,74
EVERETT MASS,Everett,8.0,,75.0,34.0,5.2,,3.0,4.0,1.0,1.0,4.0,4.0,4.0,2.0,3.0,34.0,12.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,34.0,12.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,34.0,12.0,1.0,,,,,,,,,,,,,92.8,100.0,exact,74
ELIZABETH W J,Elizabeth,21.0,55 56,7.0,6.0,2.2,1.0,,,,,1.0,,1.0,2.0,1.0,,,2.0,6.0,,1.0,3.0,1.0,,1.0,3.0,5.0,,2.0,5.0,3.0,,,1.0,,,1.0,,,,2.0,4.0,2.0,,,,1.0,,1.0,,5.0,,2.0,3.0,93.4,92.3,high_confidence,74
PAULSBORO WN,Paulsboro,22.0,55 56,27.0,3.0,1.2,,1.0,1.0,16.0,,1.0,1.0,1.0,3.0,,2.0,,1.0,1.0,1.0,,3.0,,1.0,1.0,3.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,3.0,,1.0,,1.0,,,,,,,,,,,,,88.9,88.0,high_confidence,74
MIENI MUM,MiENI MUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5,0.0,unmatched,74
CAMDEN N J,Camden,19.0,55 56,24.0,3.0,1.0,1.0,1.0,3.0,7.0,4.0,,1.0,,1.0,3.0,2.0,,2.0,1.0,1.0,3.0,3.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,,1.0,,,,,,1.0,89.7,100.0,exact,74
PERTH AMBOY NJ,Perth Amboy,18.0,56,8.0,1.0,1.0,,,,2.0,4.0,,,1.0,,,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,89.9,96.6,high_confidence,74
TRENTON MW J,Trenton,28.0,56,17.0,6.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,3.0,3.0,4.0,3.0,6.0,,,3.0,,,3.0,3.0,4.0,2.0,2.0,3.0,6.0,,,2.0,,,3.0,3.0,3.0,2.0,1.0,3.0,6.0,,,1.0,,,3.0,3.0,2.0,69.2,87.0,high_confidence,74
JERSEY CITY,Jersey City,27.0,55 56,23.0,8.0,1.3,,2.0,3.0,4.0,4.0,,2.0,2.0,2.0,1.0,,1.0,2.0,1.0,1.0,3.0,8.0,,1.0,2.0,,,,,1.0,1.0,1.0,1.0,2.0,,,1.0,2.0,,,,1.0,,,,,,,,,,,,,91.0,100.0,exact,74
WINI MUM,WINI MUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.6,0.0,unmatched,74
NEW YORK WN Y,New York,30.0,54 56,60.0,92.0,10.6,,3.0,4.0,1.0,4.0,1.0,9.0,7.0,5.0,6.0,6.0,7.0,7.0,57.0,38.0,2.0,4.0,3.0,26.0,31.0,43.0,33.0,17.0,6.0,92.0,24.0,18.0,2.0,2.0,3.0,8.0,8.0,12.0,14.0,10.0,3.0,23.0,,,,,,,,,,,,,91.5,96.0,high_confidence,74
MENIMUM,MENIMUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.8,0.0,unmatched,74
PHILADELPHIA PA,Philadelphia,41.0,56,312.0,30.0,5.3,1.0,14.0,24.0,23.0,25.0,16.0,22.0,30.0,,31.0,35.0,44.0,48.0,12.0,22.0,5.0,8.0,5.0,6.0,30.0,17.0,14.0,,18.0,22.0,4.0,3.0,2.0,2.0,32.0,1.0,3.0,3.0,4.0,3.0,3.0,4.0,1.0,,,1.0,,,,,1.0,,,,77.5,100.0,exact,74
PA,PA,,56,6.0,6.0,3.4,1.0,,,,,,,,1.0,2.0,2.0,1.0,,,6.0,5.0,3.0,4.0,,,3.0,4.0,3.0,2.0,,,6.0,5.0,3.0,3.0,,,3.0,2.0,3.0,2.0,,,6.0,5.0,3.0,3.0,,,3.0,1.0,3.0,2.0,,95.0,0.0,unmatched,74
BRISTOL PA,Bristol,58.0,55 56,16.0,3.0,1.4,1.0,,1.0,1.0,1.0,2.0,,2.0,1.0,4.0,2.0,2.0,,,,,,2.0,,3.0,2.0,3.0,1.0,3.0,,,,,,1.0,,2.0,2.0,1.0,,1.0,,,,,,1.0,,2.0,2.0,,,,,94.0,100.0,exact,74
CHESTER PA,Chester,55.0,55 56,18.0,9.0,1.9,1.0,,1.0,,2.0,2.0,2.0,2.0,3.0,4.0,1.0,,1.0,,4.0,,1.0,1.0,2.0,,9.0,5.0,1.0,,2.0,,4.0,,1.0,,1.0,,3.0,1.0,1.0,,2.0,,4.0,,1.0,,,,,,1.0,,2.0,88.2,100.0,exact,74
