Station_Location,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
NEW JERSEY TOTAL,,,,,,1.0,19.0,20.0,,,,,,,88.5,78,state_total,NEW JERSEY TOTAL,,,state_aggregate,False,False
NEW YORK TOTAL,54 55,21.0,,160.0,57.0,12.0,24.0,34.0,43.0,54.0,61.0,74.0,88.0,99.0,94.5,78,state_total,NEW YORK TOTAL,,,state_aggregate,True,False
OO1S COLUMBIA TOTAL,54,19.0,,110.0,45.0,11.0,23.0,30.0,36.0,41.0,43.0,54.0,65.0,78.0,90.6,78,,OO1S COLUMBIA TOTAL,,0.0,unmatched,False,False
ILLI NOIS TOTAL,54 55,31.0,,392.0,123.0,1.0,34.0,58.0,78.0,97.0,141.0,155.0,179.0,335.0,88.8,78,,ILLI NOIS TOTAL,,0.0,unmatched,True,False
OHIO TOTAL,54 55,40.0,,,35.0,,1.0,10.0,19.0,26.0,29.0,33.0,43.0,105.0,93.9,78,state_total,OHIO TOTAL,,,state_aggregate,True,False
TEXAS TOTAL,54,,,43.0,17.0,,,1.0,1.0,15.0,15.0,34.0,38.0,38.0,95.7,78,state_total,TEXAS TOTAL,,,state_aggregate,False,False
ALASKA TOTAL,54 55,12.0,,28.0,,,,1.0,1.0,,,,15.0,21.0,93.0,78,state_total,ALASKA TOTAL,,,state_aggregate,True,False
CALIFORNIA TOTAL,54 55,74.0,,140.0,33.0,,1.0,8.0,12.0,20.0,30.0,38.0,69.0,87.0,95.6,78,state_total,CALIFORNIA TOTAL,,,state_aggregate,True,False
OREGON TOTAL,54,40.0,,406.0,93.0,7.0,24.0,39.0,43.0,72.0,94.0,111.0,159.0,190.0,92.5,78,state_total,OREGON TOTAL,,,state_aggregate,False,False
MID ATLANTIC TOTAL,54 55,31.0,,160.0,,12.0,20.0,27.0,38.0,52.0,57.0,61.0,,94.0,88.8,78,region_total,MID ATLANTIC TOTAL,,,skip,True,False
MID EAST TOTAL,54 55,19.0,,110.0,45.0,,23.0,30.0,36.0,41.0,43.0,54.0,65.0,78.0,91.6,78,region_total,MID EAST TOTAL,,,skip,True,False
MID WEST TOTAL,54 55,71.0,,392.0,74.0,1.0,8.0,,28.0,38.0,61.0,95.0,125.0,179.0,94.3,78,region_total,MID WEST TOTAL,,,skip,True,False
GULF SOUTH TOTAL,54,,,43.0,17.0,,,1.0,1.0,15.0,15.0,34.0,38.0,38.0,95.7,78,region_total,GULF SOUTH TOTAL,,,skip,False,False
PACIFIC COAST TOTAL,54 55,126.0,,406.0,49.0,,1.0,10.0,18.0,28.0,39.0,64.0,86.0,133.0,94.1,78,region_total,PACIFIC COAST TOTAL,,,skip,True,False
PACIFIC COAST TOTAL,54 55,257.0,,406.0,54.0,1.0,3.0,14.0,24.0,33.0,43.0,65.0,90.0,141.0,94.6,78,,PACIFIC COAST TOTAL,,,skip,True,False
