report_file,table_file,table_type,input_rows,output_rows,removed_rows,filled_cells,total_cells,fill_percentage,initial_confidence,final_confidence,confidence_change,anomalies_detected,rows_repaired,monthly_cells_cleared,ordering_violations_cleared,smart_fill_pct,num_columns,num_rows,has_site_column,station_count,year_values,row_type_counts,month_fill_rates,naturally_empty_slots,total_applicable_slots,month_means_max,month_means_avg,month_means_min
All_Tables_Combined_cleaning_report.txt,All_Tables_Combined,,11992,11989,3,119126,227791,52.3,91.81,91.81,0.0,,,,,52.3,,,,,,,,,,,,
Table_100_Pages_218-218_cleaning_report.txt,Table_100_Pages_218-218,16-column,9,9,0,131,189,69.3,92.94,92.94,0.0,,,,,69.3,21.0,9.0,True,,,,,0.0,0.0,,,
Table_101_Pages_219-222_cleaning_report.txt,Table_101_Pages_219-222,,257,257,0,3756,5140,73.1,90.81,90.81,0.0,17.0,17.0,5.0,51.0,73.1,58.0,59.0,False,,,,,0.0,0.0,,,
Table_10_Pages_37-38_cleaning_report.txt,Table_10_Pages_37-38,,62,62,0,1050,1240,84.7,92.56,92.56,0.0,,,,,84.7,20.0,62.0,False,,,,,0.0,0.0,,,
Table_11_Pages_39-40_cleaning_report.txt,Table_11_Pages_39-40,16-column,51,51,0,1008,1071,94.1,93.0,93.0,0.0,,,,,94.1,21.0,51.0,True,,,,,0.0,0.0,,,
Table_12_Pages_41-50_cleaning_report.txt,Table_12_Pages_41-50,,746,746,0,11749,14920,78.7,91.27,91.27,0.0,42.0,36.0,23.0,64.0,78.7,58.0,155.0,False,,,,,0.0,0.0,,,
Table_13_Pages_51-54_cleaning_report.txt,Table_13_Pages_51-54,16-column,245,245,0,4520,5145,87.9,92.55,92.55,0.0,,,,,87.9,21.0,245.0,True,,,,,0.0,0.0,,,
Table_14_Pages_55-56_cleaning_report.txt,Table_14_Pages_55-56,,63,63,0,1061,1260,84.2,92.0,92.0,0.0,,,,,84.2,20.0,63.0,False,,,,,0.0,0.0,,,
Table_16_Pages_58-58_cleaning_report.txt,Table_16_Pages_58-58,16-column,26,26,0,517,546,94.7,91.42,91.42,0.0,,,,,94.7,21.0,26.0,True,,,,,0.0,0.0,,,
Table_17_Pages_59-69_cleaning_report.txt,Table_17_Pages_59-69,,740,740,0,10253,14800,69.3,90.74,90.74,0.0,34.0,23.0,29.0,62.0,69.3,58.0,157.0,False,,,,,0.0,0.0,,,
Table_18_Pages_70-71_cleaning_report.txt,Table_18_Pages_70-71,16-column,115,114,1,2212,2394,92.4,93.42,93.5,0.08,,,,,92.4,21.0,114.0,True,,,,,0.0,0.0,,,
Table_19_Pages_72-72_cleaning_report.txt,Table_19_Pages_72-72,,35,35,0,539,700,77.0,93.68,93.68,0.0,,,,,77.0,20.0,35.0,False,,,,,0.0,0.0,,,
