Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Avg_Confidence,Page_Num
ELIZABETH N,55,1,1,,,ELIZABETH N,35,1,4,,,,88.5,223
PAULSBORO N,55,2,2,,,PAULSBORO N,55,2,2,,,,91.3,223
CAMDEN N J,55,2,2,,,N J,55,2,1,2,,,92.2,223
PERTH AMBOY N J,55,2,2,,,PERTH AMBOY,55,2,1,3,,,92.5,223
TRENTON N J,,1,1,,,TRENTON N J,55,1,,1,,,94.0,223
JERSEY ciTty N J,55,2,2,,,JERSEY ciTy N J,35,2,1,2,,,85.3,223
NEW YORK N Y,54 55,37,36,,,NEW YORK N Y,54,37,4,25,,,93.5,223
PHILADELPHI A PA,54,10,10,,,PHILADELPHIA PA,54,10,4,141,,,94.1,223
WASHINGTON c,54 55,29,29,,,WASHINGTON D,54 55,29,13,4,,,92.9,223
LOUISVILLE KY,54,9,9,,,LOUISVILLE KY,54,9,4,9,,,92.8,223
CHARLESTON W VA,54,11,11,,,CHARLESTON VA,54,121,,34,,,90.2,223
TAMPA FLA,54,10,10,,,TAMPA FLA,54,10,9,1,,,94.4,223
ATLANTA GA,54,10,10,,,ATLANTA GA,54,io,,2,,,92.9,223
CHICAGO ILL,54 55,43,42,400,,CHICAGO PEL,54 55,42,14,32,,,91.4,223
DETROIT MICH,53 54,33,33,,,DETROIT MICH,53 54,33,3,10,,,94.6,223
CINCINNATI OHIO,54 55,1 47,144,11,,OHIO,54 55,145,53,30,,,92.4,223
MINNEAPOLIS MINN,54,15,15,,,MINN,54,15,10,3,,,92.8,223
KANSAS CITY MO,54,13,13,,,KANSAS CITY MO,54,13,8,14,,,91.0,223
NEW ORLEANS LA,54,,4,,,NEW ORLEANS LA,54,4,4,,,,94.2,223
FT WORTH TE XAS,54,,9,,,FT WORTH TEXAS,534,9,7,8,,,93.1,223
LAKEWORTH TEXAS,54,,6,,,LAKEWORTH TEXAS,54,6,6,,,,94.4,223
HOUSTON TEXAS,54,18,18,,,HOUSTON TEXAS,54,17,8,3,,,95.6,223
BELLAIRE TEXAS,54,,4,,,BELLAIRE TEXAS,54,4,2,2,,,94.0,223
DENVER COLO,54,3,3,,,DENVER COLO,,3,1,2,,,94.9,223
SALT LAKE ciTy UTAH,34,5,5,,,SALT LAKE CITY UTAH,54,5,3,3,,,90.4,223
ANCHORAGE ALASKA,54 55,29,29,,,ANCHORAGE ALASKA,54 55,29,22,2,,,93.5,223
Los ANGELES CALIF,54,19,19,,,Los ANGELES CALIF,54,19,5,65,,,92.2,223
PASADENA CALIF,54 55,28,27,,,PASADENA CALIF,55,27,15,5,,,88.3,223
BERKELEY CALIF,54 55,35,35,,,BERKELEY CALIF,54 55,35,21,7,,,93.9,223
SAN JOSE CALIF,54,34,34,,,SAN JOSE CALIF,54 55,34,19,22,,,90.6,223
PORTLAND OREGON,54,54,53,743,,PORTLAND OREGON,54,54,25,6,,,83.8,223
