Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Avg_Confidence,Page_Num
,,,MIDOLESEX CNTY MASS,1,,,,,2,,,,,,,,,3,,,92.3,57
,,,,1,546,,,8,13,,,,,,,1,19,20,,,86.6,57
,,,,1,55 56,2,,8,9,,,,,,,,142,18,,,87.8,57
,,,KANAWHA cu VA,1,54,2,,3,8,,,,,,,,1,15,,,90.2,57
,,,,1,55,1,3,6,12,,,,,,,1,1,20,,,94.9,57
,,,,1,56,,31,4,38,,,3,,3,3,3,,54,,,93.0,57
,,,,1,54 56,,1,6,11,,,,,,,1,164,30,,,91.3,57
,,,HILLSBOROUGH co FLA,1,53,,,,,,,,,,,,,1,,,88.0,57
,,,,1,54,3,,4,,,,,,,,,,23,,,95.6,57
,,,,1,55,2,1,61,30,,,,,,,1,14,20,,,91.8,57
,,,,1,56,1,7,2,15,,,1,,1,1,1,,26,,,95.1,57
,,,,4,53 56,7,,61,17,,,,,,,1,14,25,,,88.7,57
,,,FULTON co GEORGIA,1,53,,,,,,,,,,,,,1,,,89.2,57
,,,,1,54,4,,5,,,,,,,,,,18,,,95.6,57
,,,,1,55,2,1,53,35,,,,,,1,1,24,48,,,88.2,57
,,,,1,53 55,6,,53,16,,,,,,,,13,26,,,89.0,57
,,,HAMILTON COUNTY OHIO,1,53,,,,1,,,,,,,,,2,,,93.1,57
,,,,1,54,,,2,3,,,,,,,,,8,,,95.4,57
,,,,1,,5,1,11,3,1,,,,,,,,12,,,93.4,57
,,,,1,53 55,63,,23,3,,,,,,,,,8,,,89.9,57
,,,,,,1,,,,,,,,,,,,,,,79.0,57
,,,TONKA BAY,1,53,,,7,2,,,,,,,,,4,,,94.6,57
,,,,1,54,37,,23,3,,,,,,,,,8,,,95.8,57
,,,,1,53 54,44,,23,3,,,,,,,,,8,,,94.1,57
,,,EDINA MINN,1,54,,5,70,1 2,6,,1,,1,1,1,193,20,,,91.4,57
,,,,1,55,,2,,14,2,,,,,1,1,12,42,,,91.7,57
,,,,1,54 55,19,2,,13,,,,,1,1,1,15,26,,,90.2,57
,,,DENVER COUNTY COLO,1,54,21,3,,,4,,,,1,2,3,46,59,,,93.8,57
,,,,1,,,,,46,1,,,,,1,1,,1 45,,,95.7,57
,,,,1,,16,8,17,49,20,,29,,3,3,4,79,,,,94.3,57
,,,,1,54 56,,,,40,,,,,1,2,3,46,79,,,94.3,57
,,,SALT LAKE CO UTAH,1,53,,,,,,,,,,,,,1,,,95.1,57
,,,,1,54,27,,17 0,24,,,,,1,1,2,33,62,,,93.9,57
,,,,1,,22,,7,1944,,,,,,1,1,30,94,,,91.8,57
,,,,1,53 35,,,R643,868,,,,,1,1,2,30,62,,,85.9,57
,,,MULTNOMAH CNTY ORE,1,54,16,,11 6,20,,,,,,,1,2,26,,,94.5,57
,,,,1,55,,,4,2,,,,,,,,,4,,,95.4,57
,,,,1,54 55,19,,11 6,17,,,,,,,,1,26,,,94.9,57
,,,GRAND TOTAL,,53 56,474,,7,102,,,,,,,1,1,33,,,94.8,57
