Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
WATERBURY CONN,1,,ba,,i3,,,,,,,,,,,,,81.0,137
,1,,,,,6,,1,2,3,5,6,9,,,,,92.5,137
,1,55 56,36,,19,7,1,2,4,5,5,7,9,10,14,,,93.4,137
BOSTON MASS,1,55,23,,17,5,1,1,2,2,4,6,7,9,12,,,95.6,137
EVERETT MASS,1,55,26,,37,9,,3,4,6,7,9,10,12,13,,,93.7,137
NJ,1,55 56,21,,13,1,,,,1,1,1,1,2,,,,92.0,137
PAULSBORO WN J,1,56,25,,26,2,,,1,1,1,1,2,3,,,,91.2,137
CAMOEN WN J,1,55 56,21,,32,6,1,1,2,3,4,4,5,6,is,,,88.2,137
PERTH AMBOY N J,1,55 56,23,,82,6,,,1,1,1,1,3,5,12,,,93.9,137
TRENTON N J,1,55 56,17,,34,5,,,1,1,3,3,5,8,8,,,94.1,137
JERSEY CiTYy WN J,1,55 56,23,,73,10,1,2,2,3,4,5,6,10,21,,,88.8,137
NEW YORK N Y,2,54 56,50,,107,40,1,4,6,9,27,60,69,79,B86,,,91.2,137
,3,54 55,24,,67,18,1,2,3,6,7,8,20,47,58,,,92.6,137
,,54 56,75,,107,33,1,3,5,8,20,44,59,69,83,,,95.1,137
PHILADELPHIA PA,1,54,6,36,157,73,35,35,37,37,58,67,67,103,103,,,94.2,137
,1,55,94,1,35,9,2,4,5,6,7,9,11,13,18,,,94.0,137
,1,56,11,,15,7,1,2,3,4,5,8,11,12,1 4,,,91.5,137
,1,54 56,111,,157,12,2,3,5,6,8,9,i1,15,25,,,93.6,137
,3,54,4,25,66,51,,28,28,54,54,54,58,58,67,,,92.6,137
,4,56,11,,44,10,1,1,3,3,6,3,10,12,28,,,94.5,137
,5,56,9,,16,4,,1,1,1,3,3,4,6,10,,,95.8,137
,6,56,11,,19,4,,1,1,2,3,3,6,7,7,,,94.6,137
,7,56,11,,23,7,1,1,3,3,4,6,6,12,21,,,92.3,137
,,54,10,25,157,64,28,35,37,,55,58,63,67,103,,,93.7,137
,,55,94,1,35,9,2,4,5,6,7,9,i1,13,18,,,89.9,137
,,56,53,,44,6,,1,2,3,4,5,7,11,18,,,94.2,137
,,54 56,157,,157,12,1,3,4,6,7,8,11,15,26,,,95.2,137
ALTOONA PA,1,56,13,,18,6,1,2,3,5,6,7,7,8,12,,,94.9,137
BRISTOL PA,1,55 56,18,,15,2,,,1,1,1,1,2,2,4,,,94.9,137
CHESTER PA,1,56,18,,25,7,1,2,2,4,7,9,10,10,12,,,95.1,137
ERIE PA,1,56,25,,18,5,1,2,3,3,4,5,6,8,12,,,93.4,137
PITTSBURGH PA,1,56,21,,160,35,2,12,17,22,28,31,37,50,67,,,95.1,137
WILLIAMSPORT PA,1,55 56,23,2,66,20,3,5,6,9,15,21,26,34,453,,,93.7,137
WASHINGTON OC,1,54,26,34,101,59,45,48,,53,56,60,63,70,75,,,93.8,137
,2,55 56,20,2,39,13,3,6,7,8,10,12,13,20,35,,,94.0,137
,,54 56,46,2,101,39,7,9,13,34,45,51,55,62,70,,,93.5,137
LOUISVILLE KY,1,54,22,,110,28,2,5,8,11,15,17,21,50,77,,,94.9,137
,1,,21,,58,16,2,3,4,6,15,17,18,28,37,,,95.5,137
,1,54 55,43,,110,22,2,4,6,8,15,17,21,35,54,,,94.3,137
,2,54,13,3,20,8,2,3,3,6,6,7,7,12,18,,,95.5,137
,2,55,10,2,63,20,2,4,4,11,12,18,21,35,37,,,94.9,137
,2,54 55,23,2,63,13,2,3,4,6,7,11,15,i8,35,,,93.6,137
,3,54,5,7,80,42,7,7,40,40,43,43,50,50,89,,,91.2,137
,,54,40,,110,23,3,5,6,7,it,16,20,43,58,,,95.2,137
,,55,31,,63,17,2,3,4,6,15,17,21,32,37,,,94.3,137
,,55,71,,110,20,2,4,6,7,12,16,20,36,,,,92.9,137
BALTIMORE MO,1,,18,12,130,30,13,18,20,22,2A,26,27,28,32,,,93.6,137
CHARLESTON W VA,1,54,11,34,81,58,35,37,43,47,63,67,77,61,8s,,,90.5,137
,4,55,16,,23,8,2,2,3,4,4,12,13,14,15,,,95.9,137
,,54 55,27,,,28,2,3,4,13,15,24,43,63,77,,,94.0,137
TAMPA FLA,,54 55,30,,54,13,1,1,2,4,6,8,15,24,35,,,95.2,137
ATLANTA GA,1,54 56,26,,73,26,4,5,11,13,18,32,37,47,,,,94.8,137
CHATTANOOGA TENN,3,55,14,,13,,1,2,2,3,3,4,7,8,13,,,95.5,137
,4,56,18,,33,13,2,5,6,7,10,12,15,21,30,,,94.6,137
,,55 56,32,,33,9,1,2,3,5,7,8,11,13,28,,,94.2,137
CHICAGO PLL,1,54,4,44,80,61,,,,,,,,,89,,,91.8,138
,,55,26,,,15,2,3,5,8,11,14,18,24,32,,,91.8,138
,1,54 55,32,,80,20,2,3,8,10,13,15,,40,50,,,91.5,138
,2,34,30,26,155,84,45,54,67,72,77,95,103,115,128,,,92.8,138
,2,,26,6,76,34,10,15,22,24,30,37,43,54,63,,,94.6,138
,2,54 55,56,6,155,61,168,26,37,46,56,68,75,97,115,,,92.4,138
,3,54,3,54,62,58,,54,54,54,586,58,58,58,67,,,87.4,138
,4,55,29,,120,21,1,4,7,9,14,15,20,35,54,,,94.7,138
,,54,37,26,155,80,47,,58,,14,83,97,111,124,,,92.9,138
,,55,83,,120,23,2,6,9,13,16,22,29,38,54,,,92.9,138
,,54 55,120,,155,40,4,8,14,21,30,43,54,69,97,,,93.1,138
EAST ST LOUIS ILL,1,55 56,15,4,100,38,21,23,26,28,35,37,43,,67,,,92.3,138
,2,55 56,14,1,44,17,1,5,6,15,17,18,23,23,28,,,94.2,138
,,55 56,29,1,100,28,4,12,,22,24,25,34,40,50,,,92.8,138
EAST CHICAGO INO,1,56,19,3,300,60,9,17,ai,32,53,35,61,67,103,,,91.7,138
,2,55 56,26,4,100,31,6,7,18,24,27,31,37,48,58,,,94.9,138
,3,55 56,21,6,99,30,,11,14,17,23,24,37,47,58,,,92.9,138
,4,55 56,20,3,110,29,3,7,10,20,23,32,37,45,50,,,94.4,138
,,55 56,86,3,300,36,6,10,16,21,26,33,45,53,66,,,94.9,138
OETROLT MICH,1,53 54,31,1,142,76,8,24,43,55,a6,103,110,117,128,,,89.7,138
CINCINNATI OHIO,1,54,69,,99,44,19,23,30,43,47,51,56,62,69,,,93.0,138
,1,55,27,,89,21,3,4,9,11,14,17,24,43,48,,,93.4,138
,1,54 55,96,,99,37,6,14,21,26,41,47,52,60,67,,,93.9,138
,2,54,20,18,96,56,44,47,50,53,55,58,61,63,66,,,90.8,138
,4,54,18,3,104,49,4,20,21,40,45,50,64,67,98,,,93.5,138
,5,54,26,,127,59,26,37,47,54,64,70,73,77,85,,,93.9,138
,,54,133,,,49,18,25,40,46,50,56,61,66,,,,90.7,138
,,,27,,89,al,3,4,,12,14,17,a4,43,48,,,90.6,138
,,54 55,160,,127,45,8,19,26,42,47,,59,65,75,,,94.8,138
YOUNGSTOWN OHIO,1,57,12,24,500,186,24,28,111,119,137,,210,325,375,,,93.3,138
MILWAUKEE wis,1,57,19,9,140,32,9,13,18,,23,24,28,37,,,,92.7,138
MINNEAPOLIS MIAN,1,54 55,35,,89,a4,3,5,9,9,12,15,37,50,67,,,91.0,138
KANSAS CITY MO,2,54 56,25,2,68,25,6,9,11,12,21,28,35,37,58,,,94.1,138
,3,54,,24,61,39,24,24,32,32,40,40,43,43,67,,,94.6,138
,4,55 56,9,1,34,9,1,2,2,3,3,3,,15,21,,,93.9,138
,,54 56,39,1,68,23,2,6,10,,20,26,33,37,50,,,92.2,138
8ST LOUIS MO,1,55 56,23,,29,14,4,8,9,9,13,15,18,21,28,,,91.5,138
NEW ORLEANS LA,1,54 55,26,,35,5,1,1,1,2,2,3,,6,,,,91.7,138
,2,54 55,24,,40,7,1,2,2,4,,,,8,13,,,95.2,138
,,54 55,50,,40,6,1,1,2,,3,4,,6,13,,,93.4,138
FT WORTH TEXAS,1,54 55,31,3,105,16,3,3,4,5,6,7,17,23,43,,,93.8,138
LAKEWORTH TEXAS,1,54,6,22,71,41,23,23,24,24,298,54,54,58,58,,,92.8,138
HOUSTON TEXAS,1,54,26,2,85,34,6,12,26,28,33,36,37,,63,,,95.1,138
,1,55,56,,29,9,2,3,4,5,7,8,11,15,19,,,92.1,138
,,54 55,82,,as,17,2,3,5,7,10,,20,30,37,,,93.3,138
BELLAIRE TEXAS,1,54,21,1,49,11,2,3,5,6,8,,12,13,328,,,93.9,138
,1,55,14,1,13,4,1,1,1,2,2,3,,7,12,,,93.0,138
,1,54 55,35,1,49,8,1,2,3,5,6,7,11,12,15,,,94.0,138
DENVER COL,1,54 55,23,,,14,2,3,7,8,13,14,14,15,37,,,94.4,138
,3,54,3,43,53,46,,43,43,43,50,50,50,50,58,,,92.1,138
,,54,10,7,53,22,7,7,i2,14,14,15,15,43,,,,92.0,138
,,,16,,53,16,2,2,3,6,10,14,14,32,37,,,94.2,138
,,54 55,26,,53,18,2,3,7,10,13,14,15,37,47,,,93.0,138
SALT LAKE CITY UTAH,2,54 55,31,,59,21,,9,12,15,17,20,24,31,50,,,92.9,139
ANCHORAGE ALASKA,1,54 55,40,,998,85,2,13,21,47,58,67,92,103,158,,,91.0,139
LOS ANGELES CALIF,,54,19,26,114,63,37,43,48,58,63,65,,75,89,,,91.7,139
SAN FRANCISCO CALIF,1,55,32,,,,,,1,1,2,3,,,,,,88.2,139
PASADENA CALIF,1,54,21,18,59,40,31,28,32,35,43,50,52,55,57,,,88.1,139
,1,55,21,,35,11,1,4,,5,8,11,12,21,24,,,91.5,139
,1,56,,,18,,,1,1,5,5,,,,18,,,92.2,139
,1,54 56,46,,59,24,4,5,8,12,21,29,35,47,53,,,92.1,139
BERKELEY CALIF,1,54,34,,52,21,5,9,10,13,14,15,28,39,45,,,92.3,139
SAN JOSE CALIF,1,54,26,,64,25,,14,17,19,20,23,26,40,,,,94.5,139
,1,55,12,,38,18,1,2,4,10,at,25,27,32,37,,,93.7,139
,1,56,20,,35,12,2,5,7,9,10,11,13,23,26,,,94.1,139
,1,54 56,58,,64,19,3,5,10,13,18,21,25,27,39,,,93.9,139
SAN LEANDRO CALIF,2,56,30,,44,,2,3,5,6,7,9,10,12,18,,,92.7,139
PORTLAND OREGON,1,54,20,16,66,41,20,26,33,36,43,47,50,54,58,,,94.4,139
,1,55,19,,42,17,1,6,7,is,19,20,23,29,32,,,91.2,139
,1,55,39,,66,a9,6,15,19,23,29,33,37,47,54,,,91.3,139
,,54,15,43,,68,50,,56,,72,77,82,,89,,,93.1,139
,5,54,10,12,63,35,12,15,23,24,32,43,47,590,58,,,92.9,139
,4,54,10,,32,19,6,9,14,15,18,21,25,27,28,,,91.4,139
,,54,,,98,43,15,21,27,35,44,49,54,60,79,,,93.8,139
,,55,19,,42,17,1,6,7,15,19,20,23,29,32,,,91.3,139
,,54 55,74,,98,37,,16,21,26,32,40,49,55,72,,,92.7,139
SEATTLE WASH,1,57,20,11,100,38,11,15,24,33,35,37,47,54,67,,,92.1,139
