Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
NEW YORK N Y,55,,,,,,,,,,,,,,,91.0,179
NUMBER OF SAMPLES,,2,3,4,4,4,3,3,1,4,3,3,2,,,95.3,179
MAXIMUM,,32,,29,15,28,59,39,39,29,42,33,35,,,93.4,179
AVERAGE,,18,14,12,8,10,37,37,39,19,36,26,27,,,95.5,179
MINIMUM,,4,9,2,1,,23,34,39,11,28,22,19,,,87.9,179
WASHINGTON OC,54 55,,,,,,,,,,,,,,,93.5,179
NUMBER OF SAMPLES,,,3,,2,3,4,3,4,4,2,,,,,95.6,179
MAXIMUM,,,27,,,20,16,34,23,32,18,,,,,94.8,179
AVERAGE,,,82,,,8,9,24,18,i8,16,,,,,88.8,179
,,,20,,,,5,19,14,6,15,,,,,88.2,179
CHICAGO PLL,54 55,,,,,,,,,,,,,,,72.8,179
NUMBER OF SAMPLES,,2,4,,,4,9,5,3,4,6,3,,,,95.1,179
MAXIMUM,,35,44,,,14,41,48,51,37,63,55,86,,,92.2,179
AVERAGE,,32,29,,,8,16,36,31,34,47,41,59,,,95.2,179
MINIMUM,,29,5,,,2,,17,18,28,32,25,28,,,94.5,179
MICH,53 54,,,,,,,,,,,,,,,92.0,179
NUMBER OF SAMPLES,,,2,3,4,2,1,,,,,17,,,,95.3,179
MAXIMUM,,,22,26,46,15,71,,,,,61,,,,90.4,179
AVERAGE,,,21,24,31,10,71,,,,,26,,,,93.7,179
MIME MUM,,,20,23,14,5,71,,,,,,,,,70.4,179
CUNCINNATI OHIO,54,,,,,,,,,,,,,,,76.0,179
NUMBER OF SAMPLES,,1,6,44,18,17,,6,6,10,5,1,4,,,90.2,179
MAXIMUM,,17,28,69,68,30,32,25,17,25,33,38,20,,,94.5,179
AVERAGE,,17,15,22,22,16,18,15,14,17,13,38,14,,,94.0,179
MINIMUM,,17,3,4,,3,3,8,8,10,4,38,11,,,89.6,179
ANCHORAGE ALASKA,54 55,,,,,,,,,,,,,,,94.0,179
NUMBER OF SAMPLES,,1,1,,5,4,3,1,2,3,2,,2,,,93.6,179
MAXIMUM,,9,50,,400,32,i9,18,9,9,7,,12,,,92.5,179
AVERAGE,,9,50,,96,10,12,18,4,3,3,,9,,,94.1,179
MINIMUM,,9,50,,7,,4,,,,,,7,,,93.8,179
LOS ANGELES CALIF,54,,,,,,,,,,,,,,,81.8,179
NUMBER OF SAMPLES,,,1,4,4,6,2,2,,,,,,,,95.3,179
MAXIMUM,,,7,26,40,18,22,30,,,,,,,,90.9,179
AVERAGE,,,7,i2,27,7,15,28,,,,,,,,91.6,179
Mini MUM,,,7,1,10,2,9,27,,,,,,,,84.8,179
PASADENA CALIF,54 s5,,,,,,,,,,,,,,,86.5,179
NUMBER OF SAMPLES,,2,3,1,1,2,3,4,2,2,4,,,,,95.4,179
MAXIMUM,,13,31,2,,6,20,31,25,34,,,,,,94.1,179
AVERAGE,,11,23,2,,5,16,28,23,31,39,,,,,95.4,179
,,10,17,2,,4,15,22,22,28,22,,,,,94.6,179
BERKELEY CALIF,54 55,,,,,,,,,,,,,,,88.8,179
NUMBER OF SAMPLES,,3,5,,2,2,2,3,2,3,4,5,4,,,95.7,179
MAXIMUM,,35,25,,6,2,14,26,14,16,16,32,24,,,95.6,179
AVERAGE,,17,13,,3,1,11,16,11,15,11,16,14,,,93.5,179
MINIMUM,,7,5,,1,1,8,10,8,15,9,7,9,,,89.8,179
SAN JOSE CALIF,54 55,,,,,,,,,,,,,,,91.4,179
NUMBER OF SAMPLES,,3,4,2,2,2,2,2,2,4,3,5,3,,,93.3,179
MAXIMUM,,18,20,25,16,7,20,21,,21,19,19,20,,,90.9,179
AVERAGE,,15,16,16,8,4,14,11,18,14,19,12,15,,,95.2,179
MINIMUM,,13,11,7,,1,8,1,16,2,19,2,9,,,87.1,179
PORTLAND OREGON,54,,,,,,,,,,,,,,,94.7,179
NUMBER OF SAMPLES,,,2,6,3,3,,,,,20,20,,,,94.9,179
MAXIMUM,,,26,8,4,17,,,,,25,36,,,,95.6,179
AVERAGE,,,18,1,1,10,,,,,16,22,,,,95.1,179
Mint Mitt,,,,,,2,,,,,10,,,,,68.8,179
SUBURBAN,,,,,,,,,,,,,,,,95.0,179
HAMILTON COUNTY OHIO,54 535,,,,,,,,,,,,,,,88.2,179
NUMBER OF SAMPLES,,,1,4,2,5,3,4,4,4,4,3,2,,,96.0,179
,,,9,34,13,16,25,28,is,17,11,12,8,,,85.2,179
AVERAGE,,,9,17,11,7,19,16,11,11,8,9,7,,,94.0,179
MINIMUM,,,9,1,9,2,14,il,9,7,6,8,7,,,92.8,179
