Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Avg_Confidence,Page_Num
CONNECTICUT TOTAL,,,40,4400,,63,186,408,550,,,,,,,,88.6,217
MASSACHUSETS TOTAL,55,49,,1100,75,1,6,9,13,2i,27,,96,124,,,92.2,217
NEW JERSEY TOTAL,56,,,2100,B6,10,16,2,30,40,53,72,129,153,,,93.9,217
NEw YORK TOTAL,54 56,36,6,4600,693,29,37,83,129,186,208,267,,1946,,,92.7,217
PENNSYLVANIA TOTAL,55 56,265,,4400,98,9,17,23,29,38,51,66,93,171,,,93.6,217
OtS COLUMBIA TOTAL,55 56,17,10,140,45,20,22,31,39,42,43,47,53,63,,,92.2,217
KENTUCKY TOTAL,54 55,62,,540,56,1,6,15,26,29,49,61,86,142,,,93.0,217
MARYLAND TOTAL,57,18,,170,61,1,41,44,49,53,63,75,83,108,,,90.9,217
WEST VIRGINA TOTAL,55,16,,40,13,1,7,8,,,10,19,21,22,,,95.0,217
FLORIDA TOTAL,,21,,70,16,,1,6,,10,13,20,22,31,,,94.2,217
GEORGIA TOTAL,55 56,16,4,3200,374,7,22,44,58,69,90,186,459,659,,,90.9,217
TENNESSEE TOTAL,56,32,,170,42,4,9,19,,29,41,46,58,119,,,94.7,217
TOTAL,55 56,106,7,4900,522,27,42,75,102,138,181,297,520,1731,,,92.6,217
INDEANA TOTAL,55 56,Bo,7,5000,343,21,44,66,77,104,142,162,294,659,,,88.6,217
OHIO TOTAL,57,34,6,2400,418,31,63,90,124,155,223,36,459,1132,,,86.2,217
WISCONSIN TOTAL,57,19,,140,45,,,1,,53,56,,83,129,,,89.2,217
MINNESOTA TOTAL,54 55,21,,90,30,9,10,10,,29,31,40,43,53,,,93.5,217
MISSOURI TOTAL,55 56,50,,2900,156,10,26,42,56,75,88,108,195,267,,,93.7,217
LOUISIANA TOTAL,54,46,,430,22,,,1,,,,10,,44,,,94.4,217
TEXAS TOTAL,54,119,,300,34,1,4,6,10,18,24,41,54,90,,,93.6,217
COLORADO TOTAL,54 55,23,6,290,79,10,29,31,50,58,63,99,115,155,,,94.0,217
UTAH TOTAL,54 55,30,,280,66,9,21,29,42,53,61,69,119,146,,,93.4,217
ALASKA TOTAL,54 55,,,642,72,1,1,9,10,19,22,44,63,186,,,93.7,217
CALIFORNIA TOTAL,54 56,109,,950,68,1,4,9,,31,42,,T2,129,,,93.1,217
OREGON TOTAL,54 55,20,io,890,269,22,44,63,90,155,28,320,550,659,,,94.1,217
WASHINGTON TOTAL,57,20,46,170,78,55,58,61,66,72,78,,90,119,,,93.1,217
NEW ENGLNOD TOTAL,55 56,,,4400,649,6,10,21,40,90,129,459,,2793,,,88.7,217
MED ATLNTC TOTAL,54 56,424,,4600,146,10,17,295,,41,56,7,124,219,,,90.1,217
MIO EAST TOTAL,54 57,113,,540,49,1,8,18,26,31,,5,71,129,,,90.5,217
SOUTH EAST TOTAL,55 56,69,,3200,111,3,7,10,20,27,39,5,,155,,,90.6,217
MID WEST TOTAL,55 57,245,,5000,408,19,42,64,84,118,15,23,,1132,,,94.4,217
GRT PLAINS TOTAL,54 56,71,,2900,119,9,19,28,39,49,69,,,223,,,90.7,217
GULF SOUTH TOTAL,54 55,165,,430,31,,1,5,,10,20,,s0,34,,,90.4,217
ROCKY MNTN TOTAL,54 55,53,6,290,72,10,27,30,46,56,62,7,116,149,,,94.2,217
PAC COAST TOTAL,54 57,170,,950,94,1,8,18,30,43,56,7,108,,,,94.2,217
RAND TOTAL,54 57,1395,,5000,189,5,10,ei,30,45,,8,140,301,,,93.7,217
